FlockID,Chicken,week,weight.kg
9,10,10,0.98
10,1,10,1.95
10,2,10,1.24
10,3,10,1.07
10,4,10,1.07
10,5,10,1.07
10,6,10,0.98
10,7,10,0.98
10,8,10,0.98
10,9,10,0.8
10,10,10,0.62
11,1,10,0.8
11,2,10,1.07
11,3,10,1.07
11,4,10,1.07
11,5,10,0.89
11,6,10,0.89
11,7,10,0.8
11,8,10,1.15
11,9,10,1.07
11,10,10,1.15
1,1,11,1.12
1,2,11,0.6
1,3,11,0.6
1,4,11,0.69
1,5,11,0.69
1,6,11,0.86
1,7,11,0.86
1,8,11,0.77
1,9,11,0.86
1,10,11,0.77
2,1,11,1.46
2,2,11,1.55
2,3,11,1.37
2,4,11,1.12
2,5,11,1.2
2,6,11,1.2
2,7,11,1.55
2,8,11,1.55
2,9,11,1.29
2,10,11,1.46
3,1,11,1.03
3,2,11,0.86
3,3,11,0.86
3,4,11,1.29
3,5,11,0.86
3,6,11,0.52
3,7,11,0.86
3,8,11,0.64
3,9,11,0.86
3,10,11,0.67
4,1,11,0.86
4,2,11,0.69
4,3,11,0.94
4,4,11,0.52
4,5,11,0.43
4,6,11,0.69
4,7,11,0.86
4,8,11,0.6
4,9,11,0.86
4,10,11,0.86
5,1,11,1.37
5,2,11,1.46
5,3,11,1.2
5,4,11,0.6
5,5,11,1.14
5,6,11,1.39
5,7,11,1.31
5,8,11,1.03
5,9,11,1.32
5,10,11,1.03
6,1,11,0.69
6,2,11,0.77
6,3,11,0.86
6,4,11,0.6
6,5,11,0.69
6,6,11,0.82
6,7,11,0.73
6,8,11,0.67
6,9,11,0.64
6,10,11,0.76
7,1,11,0.52
7,2,11,0.69
7,3,11,0.64
7,4,11,0.77
7,5,11,0.73
7,6,11,0.77
7,7,11,0.82
7,8,11,0.77
7,9,11,0.69
7,10,11,0.6
8,1,11,1.37
8,2,11,1.46
8,3,11,1.55
8,4,11,1.2
8,5,11,1.03
8,6,11,1.46
8,7,11,1.29
8,8,11,1.2
8,9,11,1.55
8,10,11,1.46
9,1,11,0.53
9,2,11,1.03
9,3,11,1.03
9,4,11,0.94
9,5,11,0.77
9,6,11,1.12
9,7,11,0.86
9,8,11,0.86
9,9,11,1.33
9,10,11,0.86
10,1,11,2.06
10,2,11,1.55
10,3,11,1.55
10,4,11,1.29
10,5,11,1.12
10,6,11,1.12
10,7,11,1.03
10,8,11,1.03
10,9,11,0.94
10,10,11,0.69
11,1,11,1.12
11,2,11,1.2
11,3,11,1.29
11,4,11,1.03
11,5,11,1.2
11,6,11,0.86
11,7,11,0.94
11,8,11,1.29
11,9,11,1.37
11,10,11,1.03
1,1,12,1.14
1,2,12,0.79
1,3,12,0.7
